"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "Markdown", "YAML", "TypeScript JSX", "XML", "PostCSS", "comment", "blank", "total"
"/Users/marcossandovalruiz/Documents/quhealthy/services/catalog.service.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 21, 8, 58
"/Users/marcossandovalruiz/Documents/quhealthy/services/catalogAiService.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27
"/Users/marcossandovalruiz/Documents/quhealthy/services/chat.service.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 65
"/Users/marcossandovalruiz/Documents/quhealthy/services/checkout.service.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 19
"/Users/marcossandovalruiz/Documents/quhealthy/services/compliance.service.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/marcossandovalruiz/Documents/quhealthy/services/consumer-course.service.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 58
"/Users/marcossandovalruiz/Documents/quhealthy/services/consumer-order.service.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 22
"/Users/marcossandovalruiz/Documents/quhealthy/services/consumer-package.service.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 18
"/Users/marcossandovalruiz/Documents/quhealthy/services/consumer-wallet.service.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 23
"/Users/marcossandovalruiz/Documents/quhealthy/services/consumerProfile.service.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 23, 10, 87
"/Users/marcossandovalruiz/Documents/quhealthy/services/course-curriculum.service.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"/Users/marcossandovalruiz/Documents/quhealthy/services/course-progress.service.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/marcossandovalruiz/Documents/quhealthy/services/dashboard.service.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 38
"/Users/marcossandovalruiz/Documents/quhealthy/services/dependent.service.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 27
"/Users/marcossandovalruiz/Documents/quhealthy/services/discover.service.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 25
"/Users/marcossandovalruiz/Documents/quhealthy/services/ehr.service.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 34, 9, 84
"/Users/marcossandovalruiz/Documents/quhealthy/services/eldercare.service.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 76
"/Users/marcossandovalruiz/Documents/quhealthy/services/favorite.service.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
